file,name,x,y,z,majorRadius,bRadius,minorRadius,theta_x,theta_y,theta_z
t172.tif,Cell type 1_1111001,483.21,367.326,63.1076,16.7929,14.248,13.6707,-0.764654,-0.00498519,-0.174248
t172.tif,Cell type 1_4010110,354.165,226.979,149.689,17.945,16.8323,12.8374,1.50232,-0.421186,-1.45484
t172.tif,Cell type 1_4000111,350.914,287.966,147.201,16.7442,16.338,13.6074,-2.08699,-0.0885567,1.59398
t172.tif,Cell type 1_1011000,164.762,378.535,112.386,18.2854,15.7626,13.553,0.704984,-0.9852,1.19488
t172.tif,Cell type 1_1011001,189.473,391.357,133.486,20.473,16.2175,15.0639,-0.43429,-0.141071,0.601164
t172.tif,Cell type 1_2011000,406.663,379.834,157.683,19.4123,15.7994,13.3025,1.12411,-0.913247,1.53486
t172.tif,Cell type 1_2011001,358.957,402.726,149.549,17.7034,15.3722,14.785,0.475097,-1.10739,1.28131
t172.tif,Cell type 1_4000010,295.391,263.66,113.064,15.4288,14.2221,13.5135,-1.15949,-0.76122,0.705584
t172.tif,Cell type 1_1110000,200.272,267.413,47.4774,15.6951,14.2804,12.2408,0.343595,0.0642491,-1.54595
t172.tif,Cell type 1_1110001,232.295,282.674,51.9713,15.4315,13.8679,13.1592,1.0153,0.245333,-0.238691
t172.tif,Cell type 1_300110,457.916,312.402,149.158,19.2183,16.1655,14.9987,-1.29442,0.898328,-1.05629
t172.tif,Cell type 1_300111,495.757,284.001,145.319,19.1935,17.9214,13.9588,-0.393339,-1.13225,0.680885
t172.tif,Cell type 1_4001010,235.981,343.397,129.133,17.9005,15.7556,14.0487,-1.63889,-0.182846,0.120496
t172.tif,Cell type 1_4001011,193.706,340.398,117.88,16.9458,15.3753,14.0403,-1.24332,0.628946,1.28881
t172.tif,Cell type 1_4010010,248.266,225.802,100.908,18.1835,15.4441,14.2196,2.0664,-0.227773,-1.38632
t172.tif,Cell type 1_4000100,396.215,261.89,160.507,22.068,14.6595,14.3166,2.34067,1.06787,-0.754128
t172.tif,Cell type 1_4000101,408.505,298.414,154.605,17.6156,15.4288,14.6271,-0.619907,-0.0981398,-1.12144
t172.tif,Cell type 1_4001000,303.397,357.74,97.5306,18.7838,15.535,12.1538,1.34862,0.560497,0.166022
t172.tif,Cell type 1_4001001,255.782,346.331,105.68,17.9425,15.2554,13.3423,-0.762059,-0.887076,3.11966
t172.tif,Cell type 1_4011010,258.986,175.522,105.471,17.8355,14.3887,13.4914,-0.444403,-0.204443,0.741117
t172.tif,Cell type 1_4011011,305.083,182.137,102.401,16.7587,15.5047,13.758,1.23262,-0.127842,-0.0408657
t172.tif,Cell type 1_4011000,252.019,184.305,127.316,17.5196,15.1751,14.5195,-0.0671146,-0.927503,0.978012
t172.tif,Cell type 1_4011001,202.644,199.414,120.329,17.4855,15.9434,13.9639,1.15353,-0.068389,0.251255
t172.tif,Cell type 1_4010100,434.284,243.415,160.048,17.2135,14.5182,13.9578,2.81777,-0.0273998,-1.77786
t172.tif,Cell type 1_4010101,397.162,218.363,155.374,15.5349,14.1925,11.8784,-0.871318,-0.0296115,1.32388
t172.tif,Cell type 1_4011100,316.084,184.948,124.047,16.6619,15.4888,13.0118,0.906449,-0.353275,1.29774
t172.tif,Cell type 1_4011101,353.315,175.841,130.544,17.1585,14.1998,12.7626,-2.79775,1.20012,-2.14602
t172.tif,Cell type 1_4001100,313.31,348.211,124.383,16.5223,14.2838,13.6998,0.540543,-0.568782,-1.43083
t172.tif,Cell type 1_4001101,357.34,351.927,144.12,17.3686,14.3927,13.0148,-1.23581,-0.412318,1.00969
t172.tif,Cell type 1_4011110,381.868,153.697,84.2351,15.34,15.1433,13.4146,-1.95864,-0.0961231,0.16085
t172.tif,Cell type 1_4011111,345.511,163.18,104.979,16.1245,13.373,13.0376,-0.0573731,-0.257239,1.17748
t172.tif,Cell type 1_4001110,344.014,383.631,116.741,19.2092,15.8042,13.999,1.2805,-0.569499,-0.0210904
t172.tif,Cell type 1_4001111,389.239,373.967,93.6556,17.4351,14.5138,12.5499,-0.437421,0.115435,-0.785201
t172.tif,Cell type 1_3111000,455.56,193.997,117.81,19.0709,14.9399,14.349,1.98214,1.30291,1.91856
t172.tif,Cell type 1_3111001,427.15,149.261,111.407,17.825,15.1622,13.7229,-2.49687,0.220836,-0.808934
t172.tif,Cell type 1_311000,443.988,366.961,94.7924,15.3078,13.8809,12.4546,0.174976,-0.689957,-1.29918
t172.tif,Cell type 1_311001,475.577,336.615,111.865,17.4486,16.039,14.1249,2.19609,-0.504664,-1.50264
t172.tif,Cell type 1_3000010,581.327,272.756,69.8902,13.7598,11.9924,11.0263,0.813616,-0.140771,-0.403484
t172.tif,Cell type 1_3000011,598.952,285.412,104.702,14.2878,12.9694,12.4362,1.14716,0.246188,1.46944
t172.tif,Cell type 1_311110,379.898,148.609,108.238,17.4294,14.1919,13.8941,1.70783,1.22047,1.44143
t172.tif,Cell type 1_311111,407.507,166.773,136.988,22.1327,16.3866,14.1812,0.583693,0.580894,1.56313
t172.tif,Cell type 1_10100101,164.466,313.86,161.755,19.1756,18.0132,16.1742,1.25269,-0.16913,1.69465
t172.tif,Cell type 1_311010,447.571,353.866,125.532,16.9204,15.1661,14.0336,-0.587482,-0.664447,-0.718494
t172.tif,Cell type 1_311011,414.352,377.719,108.449,15.3026,13.7877,12.8934,2.3223,0.807675,-0.0886055
t172.tif,Cell type 1_3000000,550.791,280.159,52.6352,12.4327,11.6029,10.5296,-2.9361,-0.504698,2.63399
t172.tif,Cell type 1_3000001,498.323,307.954,49.6831,12.7511,12.1779,10.7067,0.330835,-0.255842,-1.95695
t172.tif,Cell type 1_11000000,177.162,223.16,155.143,17.2847,15.0144,14.3735,2.49631,0.49953,1.25062
t172.tif,Cell type 1_11000001,151.821,237.442,164.212,17.7483,15.7575,14.2688,-1.87686,1.25733,0.609329
t172.tif,Cell type 1_3010000,577.438,199.964,83.8221,13.6876,12.2463,12.1332,0.303279,-0.25862,1.79529
t172.tif,Cell type 1_3010001,540.736,223.575,49.7555,13.1973,12.1043,10.7686,-0.584792,0.043367,-0.677781
t172.tif,Cell type 1_20001100,425.179,416.902,93.5557,14.7002,14.5683,13.7235,0.55653,-1.10123,0.475866
t172.tif,Cell type 1_20001101,387.876,419.259,94.9853,16.2677,14.4743,14.0867,-2.23647,0.642592,-0.777638
t172.tif,Cell type 1_10101011,321.532,276.102,167.557,19.1095,15.7826,14.7404,2.32159,1.40713,1.57512
t172.tif,Cell type 1_10101000,238.097,263.227,178.915,18.4667,16.3483,13.3031,-1.38193,-0.94965,0.967103
t172.tif,Cell type 1_10101001,280.359,293.523,176.838,17.882,16.2139,16.035,-1.36349,0.28328,2.60578
t172.tif,Cell type 1_10111000,282.863,389.262,92.1034,15.5401,15.088,12.7157,1.38278,1.27774,2.1865
t172.tif,Cell type 1_10111001,322.801,397.024,89.6109,15.2731,14.7322,14.1729,-2.8271,0.356678,-0.877415
t172.tif,Cell type 1_20101110,346.029,318.904,173.272,18.9607,17.8038,15.395,-2.0804,0.0195929,1.73773
t172.tif,Cell type 1_11010010,315.421,206.541,158.759,20.6116,15.5576,14.0192,-1.70331,-0.941949,1.50646
t172.tif,Cell type 1_11010011,272.147,216.38,155.12,16.1114,14.7591,13.8562,-2.67862,-1.42333,-2.3271
t172.tif,Cell type 1_11001100,212.898,254.124,129.098,16.1162,15.0804,13.1242,1.15722,-1.14779,-0.0176931
t172.tif,Cell type 1_11001101,175.007,232.685,128.594,16.187,15.7033,14.7184,-1.07665,-1.0021,2.40197
t172.tif,Cell type 1_3010110,595.741,239.202,159.535,16.2815,13.3067,11.9172,0.532674,0.930049,0.919918
t172.tif,Cell type 1_3010111,544.812,281.209,181.493,31.7505,16.6036,13.5804,1.60002,-0.070981,-0.213306
t172.tif,Cell type 1_11001110,298.958,209.957,116.432,18.0552,14.1332,12.8784,1.33068,-0.396792,-0.765327
t172.tif,Cell type 1_11001111,251.335,248.36,126.142,17.2613,15.6879,14.215,-2.4577,-0.294077,1.68909
t172.tif,Cell type 1_11010000,255.38,234.129,179.741,18.4302,15.0993,14.2855,-2.83979,-1.36546,0.863031
t172.tif,Cell type 1_11010001,301.301,236.673,176.221,20.2082,17.3622,16.3469,1.16694,-1.28374,-1.24672
t172.tif,Cell type 1_21000000,301.191,144.843,85.5748,15.3804,14.0203,12.7619,-0.301576,-0.646163,0.166352
t172.tif,Cell type 1_21000001,266.761,134.582,75.1,18.4099,12.7971,11.3724,1.28245,-0.748926,-1.24032
t172.tif,Cell type 1_11011000,313.467,124.277,159.066,17.2446,14.4067,13.3789,-0.201251,0.885824,-0.979849
t172.tif,Cell type 1_11011001,271.896,133.661,150.893,20.0389,14.7083,11.7426,1.31729,-0.942441,-1.85791
t172.tif,Cell type 1_21001010,389.208,96.8873,93.1642,13.9954,13.4864,12.8872,-0.723026,-0.508601,0.0523328
t172.tif,Cell type 1_21001011,408.136,96.195,112.674,14.3157,14.0194,12.8196,-3.0561,0.559428,-2.91613
t172.tif,Cell type 1_10011110,226.568,201.48,70.7777,13.5085,12.6622,11.3903,-0.500608,-0.425934,1.10389
t172.tif,Cell type 1_10011111,270.682,198.816,72.9077,13.5416,12.6855,11.6529,-0.651183,-0.081225,-2.16438
t172.tif,Cell type 1_11000010,230.133,189.516,148.236,15.7453,14.9446,14.1857,-1.5879,0.463776,0.0146559
t172.tif,Cell type 1_11000011,188.053,186.653,154.928,17.2558,14.288,12.3112,0.448417,-1.43784,1.94655
t172.tif,Cell type 1_101010100,291.854,327.391,119.75,15.1352,14.1313,13.6442,-1.47332,0.880199,-2.36076
t172.tif,Cell type 1_101010101,259.954,314.12,157.193,16.2253,14.4796,13.7732,-0.3419,-1.25218,-1.33368
t172.tif,Cell type 1_11100100,320.355,260.62,48.7145,14.3456,12.6015,11.0262,0.0866315,-0.0123226,-0.448983
t172.tif,Cell type 1_11100101,272.027,283.392,50.5044,12.5464,11.732,10.9858,-0.477646,0.704413,-1.27576
t172.tif,Cell type 1_20001110,353.456,421.124,83.9311,15.405,13.9934,13.326,0.75334,0.327609,-0.480072
t172.tif,Cell type 1_20001111,312.848,426.872,76.9972,13.07,12.0971,11.8104,2.33248,1.30546,-2.39585
t172.tif,Cell type 1_11001000,205.218,293.01,132.103,16.3738,15.1894,13.5525,-0.977379,-0.753416,1.27882
t172.tif,Cell type 1_11001001,163.752,289.014,142.554,16.3558,15.3692,13.8396,0.823063,1.30814,1.19319
t172.tif,Cell type 1_21100010,362.566,90.9737,122.338,15.2081,13.4511,12.317,2.68988,0.702031,-2.44072
t172.tif,Cell type 1_11011010,214.192,171.093,171.979,18.1711,14.9309,13.6945,-1.52366,-0.806379,1.62426
t172.tif,Cell type 1_11011011,242.27,147.728,163.779,16.2722,15.8445,14.4145,0.580752,-1.12942,0.408064
t172.tif,Cell type 1_3010100,602.411,210.414,103.33,14.1413,12.3131,11.3712,1.28889,0.490325,0.571735
t172.tif,Cell type 1_3010101,606.792,255.479,132.308,14.9633,12.6547,11.8453,0.108473,0.499366,0.931105
t172.tif,Cell type 1_21011000,563.308,177.824,162.293,18.2497,15.5531,14.9242,-0.484204,0.395235,-1.25543
t172.tif,Cell type 1_21011001,589.993,193.676,144.739,14.3532,13.0583,11.5335,0.435148,0.836453,0.207967
t172.tif,Cell type 1_11100110,361.832,249.161,45.7986,14.6704,11.7499,10.5343,0.221906,0.0816286,-0.178594
t172.tif,Cell type 1_11100111,410.801,247.188,46.6229,12.8276,12.1922,10.4344,0.0553247,-0.101232,1.48234
t172.tif,Cell type 1_10110100,259.494,378.511,175.588,17.1802,15.1809,14.6313,0.462122,-0.664228,-0.994954
t172.tif,Cell type 1_10110101,215.199,374.789,162.332,16.6121,14.9226,13.7414,2.49223,-0.675127,-0.663067
t172.tif,Cell type 1_10110110,266.34,360.048,153.62,16.8285,14.2744,13.6719,-2.48308,-1.04369,2.51853
t172.tif,Cell type 1_10110111,310.132,359.704,148.152,16.6699,13.6139,13.3426,2.61698,-0.871092,1.81005
t172.tif,Cell type 1_1001100,179.477,256.094,66.0513,13.9109,12.3272,11.6367,2.0187,-0.938757,-2.87632
t172.tif,Cell type 1_10001011,154.53,203.47,71.3818,13.4615,11.922,11.1841,-0.7179,0.338833,-2.55528
t172.tif,Cell type 1_40000000,190.64,282.989,85.3007,16.5191,14.8251,14.3675,2.91627,0.112111,0.133992
t172.tif,Cell type 1_40000001,134.729,288.38,101.613,18.3696,14.2818,11.7098,-1.29028,-1.076,2.15095
t172.tif,Cell type 1_10010100,289.444,355.099,72.9246,16.8711,13.357,12.2191,-0.547343,-0.249314,2.92458
t172.tif,Cell type 1_10010101,230.723,357.712,64.6022,14.4357,12.7294,12.1256,2.61561,1.31881,0.254948
t172.tif,Cell type 1_21100100,215.495,151.039,139.093,17.6186,14.9227,12.3549,0.525088,-1.25751,-0.0454505
t172.tif,Cell type 1_20001010,335.397,396.927,69.3,17.7189,13.174,12.5338,0.109732,1.05002,-0.170703
t172.tif,Cell type 1_10111010,243.978,383.123,79.4102,15.5735,12.7708,11.1828,-0.623158,-0.24037,0.870524
t172.tif,Cell type 1_10111011,220.186,359.766,88.5602,14.9922,12.932,12.4203,-1.0884,-0.577594,-2.64634
t172.tif,Cell type 1_101011010,215.715,303.507,180.937,19.1013,16.1256,14.8038,-0.568315,1.39674,-0.721482
t172.tif,Cell type 1_101011011,186.539,334.535,176.665,19.5294,17.8665,16.2649,1.36932,0.130447,0.815833
t172.tif,Cell type 1_10111100,262.371,413.023,96.7429,15.2133,13.7717,12.6105,1.81466,0.693111,-1.94527
t172.tif,Cell type 1_10111101,225.25,408.619,119.372,16.1533,14.489,13.4223,0.274288,1.43262,-1.32312
t172.tif,Cell type 1_40001100,345.907,302.801,124.876,16.3008,14.7748,12.6221,-1.65722,-0.389208,-1.08583
t172.tif,Cell type 1_40001101,290.191,295.041,146.642,16.2883,15.7876,13.1802,2.31633,-1.32574,-1.68179
t172.tif,Cell type 1_20100100,327.41,415.426,141.758,15.4688,15.1998,13.6825,-1.43253,0.367711,-1.56015
t172.tif,Cell type 1_20100101,294.477,418.973,150.035,15.8474,14.4912,13.1992,1.11457,-0.948521,-1.26368
t172.tif,Cell type 1_211000110,304.227,113.204,109.353,15.7925,13.6224,13.4493,0.061919,-0.617648,-0.750673
t172.tif,Cell type 1_211000111,337.424,108.235,110.492,17.0948,13.7177,13.0168,-0.403875,0.0128977,1.08146
t172.tif,Cell type 1_200010110,264.127,383.185,60.8923,19.8314,12.5397,11.1527,1.93482,-0.897626,2.20207
t172.tif,Cell type 1_200010111,293.22,397.317,62.0508,13.6358,13.3808,11.417,-0.377306,1.17607,-0.0935347
t172.tif,Cell type 1_21101100,342.521,199.751,171.133,18.685,18.1588,13.6787,0.403517,1.20099,-0.234293
t172.tif,Cell type 1_21101101,390.108,217.459,174.344,18.1348,15.0046,13.5995,0.68669,-1.20368,1.54887
t172.tif,Cell type 1_10100110,170.244,360.773,154.52,16.772,15.1796,14.0343,-1.38895,1.22268,-1.50247
t172.tif,Cell type 1_10100111,219.611,337.747,155.529,16.5432,15.0806,14.3963,-1.2717,0.37223,-0.401604
t172.tif,Cell type 1_20000110,386.093,343.037,58.7491,14.4214,13.0491,11.8266,0.548263,-0.339867,-0.65953
t172.tif,Cell type 1_20000111,350.298,351.587,57.2542,13.5172,12.366,10.5492,-1.26369,0.170421,1.461
t172.tif,Cell type 1_21010000,365.535,128.605,64.9575,14.6613,11.5492,10.8789,2.26072,-0.287844,1.16929
t172.tif,Cell type 1_21010001,417.565,122.481,67.2452,14.7682,12.618,11.6602,-1.91526,0.563979,2.97277
t172.tif,Cell type 1_11101110,296.501,224.836,47.2267,11.4962,10.7292,9.63363,-0.144809,-0.26761,1.4258
t172.tif,Cell type 1_11101111,252.383,251.942,56.6447,12.4336,11.7889,10.7303,-2.09798,-0.457409,1.58097
t172.tif,Cell type 1_3000100,604.448,288.594,146.715,17.3597,14.0066,13.0574,0.719479,1.07588,1.65577
t172.tif,Cell type 1_3000101,549.09,302.511,170.355,24.0512,14.8531,13.3238,1.52605,-0.122396,0.334388
t172.tif,Cell type 1_21101110,434.436,209.306,176.992,20.0257,17.7468,13.4148,-1.69355,0.695416,-0.895647
t172.tif,Cell type 1_21101111,490.607,235.99,179.236,18.131,14.9368,12.9886,2.58545,-1.42391,3.1347
t172.tif,Cell type 1_21111010,507.767,137.26,166.923,17.1119,13.6757,11.56,1.38336,1.28728,0.455986
t172.tif,Cell type 1_21111000,543.813,208.835,170.175,16.408,12.8642,10.3776,1.20148,-1.23996,-0.189791
t172.tif,Cell type 1_21111001,518.757,168.299,169.598,17.7028,15.119,13.2514,0.0361403,-1.43183,-0.378587
t172.tif,Cell type 1_20010010,586.934,345.905,113.575,13.8241,12.8892,11.7081,1.55357,-1.25546,-2.21013
t172.tif,Cell type 1_20010011,573.206,330.238,143.398,15,12.9448,12.2001,-0.6455,1.01718,0.732678
t172.tif,Cell type 1_100001010,113.542,289.666,85.5133,19.8892,12.3871,11.5845,-0.849864,0.555981,-0.300536
t172.tif,Cell type 1_100001011,108.666,258.49,82.1976,15.1292,12.8231,10.8553,1.38259,0.220032,-0.628528
t172.tif,Cell type 1_21101010,410.559,170.107,169.717,23.0568,16.9317,12.1862,-1.51499,0.53621,-1.47199
t172.tif,Cell type 1_21101011,365.186,160.302,175.206,16.2364,14.5536,12.9903,-2.33398,-1.25856,0.0937223
t172.tif,Cell type 1_20100110,236.659,385.967,141.922,15.8963,15.4308,13.2017,0.885743,-0.810735,-1.88409
t172.tif,Cell type 1_20100111,270.023,406.673,152.161,16.7284,15.9749,13.9103,-1.30509,1.25325,-0.641599
t172.tif,Cell type 1_21111100,488.173,181.263,182.611,16.6561,15.6388,13.807,1.20211,-1.07918,-0.848712
t172.tif,Cell type 1_21111101,440.584,167.233,181.703,21.2266,16.5503,12.1303,0.972465,1.3417,0.829793
t172.tif,Cell type 1_21001110,332.97,149.337,57.6492,14.2712,11.625,10.7167,-2.62371,-0.134213,0.09525
t172.tif,Cell type 1_21001111,289.435,139.04,59.7141,12.6828,12.4018,11.287,-0.152116,-1.19869,-0.697516
t172.tif,Cell type 1_10101110,241.821,340.187,175.709,17.8874,15.9963,15.5956,-0.600127,1.18621,0.323576
t172.tif,Cell type 1_10101111,289.94,328.759,174.692,17.3086,14.2028,13.2299,-1.37681,-1.52775,-2.38618
t172.tif,Cell type 1_20100010,365.503,433.26,124.029,16.1421,14.7069,12.4665,-0.689293,1.44447,-0.635433
t172.tif,Cell type 1_211001010,245.782,126.743,141.653,16.1868,14.6537,14.1753,0.858752,-1.44266,2.77653
t172.tif,Cell type 1_211001011,288.06,125.544,135.257,15.1188,11.8412,10.5005,0.0482633,0.0248518,1.40019
t172.tif,Cell type 1_40100110,307.191,205.071,92.8761,13.9775,12.8455,11.1699,1.54009,-0.617104,2.34831
t172.tif,Cell type 1_40100111,301.039,236.329,85.4813,16.7232,13.838,12.4566,1.15619,-0.288366,1.43729
t172.tif,Cell type 1_10000001,160.025,359.916,130.071,17.9822,15.5349,12.1114,2.21737,0.106181,1.41994
t172.tif,Cell type 1_20000000,310.392,312.27,47.2573,12.0233,11.6689,10.2739,-0.323107,-0.363358,0.580964
t172.tif,Cell type 1_20000001,263.84,334.172,46.0175,12.1288,11.7415,10.618,0.282639,-0.105267,1.22209
t172.tif,Cell type 1_40000110,273.656,302.989,104.807,14.4361,14.0019,11.7705,-1.34932,-0.473613,1.4113
t172.tif,Cell type 1_40000111,212.638,295.354,108.839,15.3331,14.9287,12.9412,-0.333483,-0.392879,0.426936
t172.tif,Cell type 1_10010110,144.828,285.249,68.2817,22.961,12.6825,12.0304,-2.80691,0.676359,0.444921
t172.tif,Cell type 1_21010100,565.063,160.787,103.282,15.1233,12.9237,10.6859,1.46557,0.701431,2.82326
t172.tif,Cell type 1_21010101,573.018,161.611,126.035,14.9125,13.3701,11.4823,0.672394,0.978975,-0.0121904
t172.tif,Cell type 1_11010110,272.274,257.267,155.014,17.9539,15.1023,13.2962,-0.461546,-0.95267,1.55869
t172.tif,Cell type 1_11010111,228.162,234.526,150.345,16.2595,15.2622,12.9736,0.766409,-0.916844,2.1482
t172.tif,Cell type 1_21111110,544.697,242.132,181.221,16.5306,14.138,12.9092,-0.0573749,-0.846886,-0.851514
t172.tif,Cell type 1_21111111,508.551,216.465,176.431,20.6958,14.4539,12.4681,0.414364,1.33218,2.2614
t172.tif,Cell type 1_21001000,351.083,110.477,84.1507,15.0134,12.7409,12.0035,0.0616458,0.169656,-0.295615
t172.tif,Cell type 1_21001001,314.822,111.858,87.7324,14.0195,11.7495,11.2074,0.198838,-1.10965,1.93053
t172.tif,Cell type 1_100001001,127.861,209.788,91.0963,14.05,13.5536,12.8478,-2.41962,0.182008,-0.723803
t172.tif,Cell type 1_201000110,332.177,427.931,117.698,15.4779,14.5513,13.9911,-2.71701,1.31413,-2.30908
t172.tif,Cell type 1_201000111,301.147,420.901,126.994,17.0042,13.324,12.9703,-1.25276,0.578636,-1.00399
