frame,index,slices,pixels,dtype,channels,global_mean,top10_mean,top10_threshold_min,min,max
t045,45,35,12687360,uint8,3,27.16472977829903,59.835072859917275,35.0,14.0,251.0
t046,46,35,12687360,uint8,3,27.18482994098063,60.030947336561745,35.0,15.0,252.0
t047,47,35,12687360,uint8,3,27.24105188155771,60.52281168028652,35.0,14.0,250.0
t048,48,35,12687360,uint8,3,27.293739280669897,60.9759808187046,35.0,15.0,253.0
t049,49,35,12687360,uint8,3,27.341520379338174,61.38689372730024,35.0,14.0,251.0
t050,50,35,12687360,uint8,3,27.35718746847256,61.28652296458838,36.0,10.0,250.0
t051,51,35,12687360,uint8,3,27.486261129186843,62.29757806194512,36.0,14.0,251.0
t052,52,35,12687360,uint8,3,27.499528822387006,62.340103063206215,36.0,14.0,251.0
t053,53,35,12687360,uint8,3,27.505153317947943,62.41621030695117,36.0,14.0,250.0
t054,54,35,12687360,uint8,3,27.65497849828491,63.61669251916869,37.0,14.0,252.0
t055,55,35,12687360,uint8,3,27.67522053445319,63.84672934322034,37.0,15.0,253.0
t056,56,35,12687360,uint8,3,27.77714906804883,64.4538446138519,37.0,15.0,255.0
t057,57,35,12687360,uint8,3,27.849002314114205,64.32291981941081,38.0,13.0,255.0
t058,58,35,12687360,uint8,3,27.871562563054884,64.10164368316183,38.0,12.0,255.0
t059,59,35,12687360,uint8,3,27.94437455861582,64.31241881683817,39.0,15.0,255.0
t060,60,35,12687360,uint8,3,27.998481638418077,64.56722438710653,39.0,13.0,255.0
t061,61,35,12687360,uint8,3,28.057440633827685,65.20959206643462,39.0,14.0,255.0
t062,62,35,12687360,uint8,3,28.15535540884786,66.086935343523,39.0,14.0,254.0
t063,63,35,12687360,uint8,3,28.190267321176353,66.6029276382163,39.0,13.0,254.0
t064,64,35,12687360,uint8,3,28.305268550746568,67.6306512938862,39.0,12.0,255.0
t065,65,35,12687360,uint8,3,28.357349834796207,68.27281719758878,39.0,15.0,253.0
t066,66,35,12687360,uint8,3,28.43081098037732,68.81289094027441,40.0,15.0,255.0
t067,67,35,12687360,uint8,3,28.56155086637409,69.7265435835351,40.0,15.0,255.0
t068,68,35,12687360,uint8,3,28.70489684221146,70.76072642377926,41.0,13.0,255.0
t069,69,35,12687360,uint8,3,28.834574411067393,71.62614050519572,41.0,12.0,255.0
t070,70,35,12687360,uint8,3,28.95004271968321,72.58458103183011,42.0,13.0,255.0
t071,71,35,12687360,uint8,3,29.059569524313964,73.3583858265234,42.0,13.0,255.0
t072,72,35,12687360,uint8,3,29.241356279005245,74.76081312424334,43.0,15.0,255.0
t073,73,35,12687360,uint8,3,29.323159900877723,75.2677988170904,43.0,14.0,255.0
t074,74,35,12687360,uint8,3,29.40153853914447,75.95243297265941,43.0,14.0,255.0
t075,75,35,12687360,uint8,3,29.67330272018765,77.87392727880346,44.0,14.0,255.0
t076,76,35,12687360,uint8,3,29.76028299031477,78.53577970515536,44.0,14.0,255.0
t077,77,35,12687360,uint8,3,29.854606001563763,79.2192702027845,45.0,13.0,255.0
t078,78,35,12687360,uint8,3,30.010576510794994,80.23362701145076,45.0,14.0,255.0
t079,79,35,12687360,uint8,3,30.039659629741728,80.43066563887207,45.0,13.0,255.0
t080,80,35,12687360,uint8,3,30.174502496973364,81.17400152592816,46.0,14.0,255.0
t081,81,35,12687360,uint8,3,30.2896336196025,81.98450820344027,46.0,13.0,255.0
t082,82,35,12687360,uint8,3,30.359158721751413,82.36299986758475,47.0,14.0,255.0
t083,83,35,12687360,uint8,3,30.36008578616828,82.11541881053269,47.0,14.0,255.0
t084,84,35,12687360,uint8,3,30.647878676099676,83.38658002925746,48.0,14.0,255.0
t085,85,35,12687360,uint8,3,30.800979399969734,83.63656032460653,49.0,15.0,255.0
t086,86,35,12687360,uint8,3,30.941178937146894,83.98397302512106,50.0,13.0,255.0
t087,87,35,12687360,uint8,3,31.04828506482042,84.24306317468725,50.0,13.0,255.0
t088,88,35,12687360,uint8,3,31.155728693755044,85.19464333005448,51.0,14.0,255.0
t089,89,35,12687360,uint8,3,31.25181582299233,86.04656524288741,51.0,13.0,255.0
t090,90,35,12687360,uint8,3,31.48045755775827,87.8641451018967,51.0,14.0,255.0
t091,91,35,12687360,uint8,3,31.63874596448749,89.29541370308716,52.0,13.0,255.0
t092,92,35,12687360,uint8,3,31.754907403904358,90.26390281350888,52.0,13.0,255.0
t093,93,35,12687360,uint8,3,31.90665717690678,91.37023541540557,53.0,13.0,255.0
t094,94,35,12687360,uint8,3,32.141011053520984,92.98256138392857,54.0,14.0,255.0
t095,95,35,12687360,uint8,3,32.35936885214891,94.59345679479419,54.0,14.0,255.0
t096,96,35,12687360,uint8,3,32.3801714462268,94.5835532372377,54.0,14.0,255.0
t097,97,35,12687360,uint8,3,32.52372644900121,95.63859305639629,55.0,13.0,255.0
t098,98,35,12687360,uint8,3,32.75916171685835,96.92487168331316,56.0,14.0,255.0
t099,99,35,12687360,uint8,3,32.791598252118646,97.07542546282284,56.0,15.0,255.0
t100,100,35,12687360,uint8,3,33.01764196806901,98.514266167272,57.0,13.0,255.0
t101,101,35,12687360,uint8,3,33.095082349677156,98.96157041338782,57.0,14.0,255.0
t102,102,35,12687360,uint8,3,33.38700423098265,101.0258958522498,58.0,15.0,255.0
t103,103,35,12687360,uint8,3,33.5474546320117,102.12607902668482,58.0,14.0,255.0
t104,104,35,12687360,uint8,3,33.69061128556295,103.07453560078693,59.0,13.0,255.0
t105,105,35,12687360,uint8,3,33.73929312323446,103.41082226720137,59.0,13.0,255.0
t106,106,35,12687360,uint8,3,33.90613571302462,104.26148465874698,59.0,14.0,255.0
t107,107,35,12687360,uint8,3,34.05947557253834,105.21809659377523,60.0,15.0,255.0
t108,108,35,12687360,uint8,3,34.23080467488902,106.36189798350485,61.0,14.0,255.0
t109,109,35,12687360,uint8,3,34.302287158242535,106.75096946882567,61.0,13.0,255.0
t110,110,35,12687360,uint8,3,34.56573834115214,108.2282161143059,62.0,13.0,255.0
t111,111,35,12687360,uint8,3,34.734811024515736,109.26370734337166,63.0,13.0,255.0
t112,112,35,12687360,uint8,3,34.831622496721145,110.14993662984261,63.0,14.0,255.0
t113,113,35,12687360,uint8,3,34.913992509079904,110.65193074051655,63.0,13.0,255.0
t114,114,35,12687360,uint8,3,35.05906555816183,111.40344957501009,64.0,14.0,255.0
t115,115,35,12687360,uint8,3,33.87894944259484,104.35658876235875,60.0,15.0,255.0
t116,116,35,12687360,uint8,3,33.87144023658192,104.02851578263721,60.0,14.0,255.0
t117,117,35,12687360,uint8,3,33.90581665531679,104.02395691459847,60.0,14.0,255.0
t118,118,35,12687360,uint8,3,34.11257724223164,105.00742313609766,60.0,13.0,255.0
t119,119,35,12687360,uint8,3,34.261904131355934,105.26128603586562,61.0,14.0,255.0
t120,120,35,12687360,uint8,3,34.37535830937248,105.64122717413237,62.0,13.0,255.0
t121,121,35,12687360,uint8,3,34.38548334720541,105.36298804479419,62.0,13.0,255.0
t122,122,35,12687360,uint8,3,34.41492540607344,105.34231234866829,62.0,14.0,255.0
t123,123,35,12687360,uint8,3,34.62446356058313,106.50713150726392,63.0,14.0,255.0
t124,124,35,12687360,uint8,3,34.77264379666061,107.38936784327078,64.0,14.0,255.0
t125,125,35,12687360,uint8,3,34.805281161723165,107.34273796912834,64.0,15.0,255.0
t126,126,35,12687360,uint8,3,34.98924031476997,108.49782539472356,65.0,14.0,255.0
t127,127,35,12687360,uint8,3,35.194341770076676,109.6390052776937,65.0,14.0,255.0
t128,128,35,12687360,uint8,3,35.361089777542375,110.59272614633777,66.0,14.0,255.0
t129,129,35,12687360,uint8,3,35.347165525373285,110.45363574455206,66.0,12.0,255.0
t130,130,35,12687360,uint8,3,35.37704739205004,110.48211448244552,66.0,14.0,255.0
t131,131,35,12687360,uint8,3,35.497634968976996,111.25554961788741,66.0,13.0,255.0
t132,132,35,12687360,uint8,3,35.74300122326473,112.7298594821933,67.0,13.0,255.0
t133,133,35,12687360,uint8,3,35.67121922921711,112.25140533570419,67.0,13.0,255.0
t134,134,35,12687360,uint8,3,35.8784752698749,113.80284235648709,68.0,14.0,255.0
t135,135,35,12687360,uint8,3,36.09228160941284,114.95240617433414,69.0,14.0,255.0
t136,136,35,12687360,uint8,3,35.97644632137813,113.99101940829298,68.0,14.0,255.0
t137,137,35,12687360,uint8,3,36.01936935658797,114.53741992029863,69.0,14.0,255.0
t138,138,35,12687360,uint8,3,36.14108577355731,115.129500542272,69.0,13.0,255.0
t139,139,35,12687360,uint8,3,36.23870072260896,115.6327021539548,69.0,14.0,255.0
t140,140,35,12687360,uint8,3,36.424640114255446,116.8108290456013,70.0,13.0,255.0
t141,141,35,12687360,uint8,3,36.462518916464894,117.09182288513922,70.0,14.0,255.0
t142,142,35,12687360,uint8,3,36.67424917398103,118.36535181471953,71.0,12.0,255.0
t143,143,35,12687360,uint8,3,36.81974437550444,119.22696605125101,72.0,13.0,255.0
t144,144,35,12687360,uint8,3,36.911390706971346,120.0728346953188,72.0,14.0,255.0
t145,145,35,12687360,uint8,3,37.00976830483253,120.36168832601896,72.0,13.0,255.0
t146,146,35,12687360,uint8,3,37.2872474651937,121.97536760996772,73.0,14.0,255.0
t147,147,35,12687360,uint8,3,37.15447374394673,121.00800166464892,73.0,14.0,255.0
t148,148,35,12687360,uint8,3,37.3828485989205,122.49295755775827,74.0,13.0,255.0
t149,149,35,12687360,uint8,3,37.4898713365113,123.07256277113599,74.0,12.0,255.0
t150,150,35,12687360,uint8,3,37.64882512989306,123.79931128304077,75.0,15.0,255.0
t151,151,35,12687360,uint8,3,37.763860724374496,124.62779490768766,75.0,14.0,255.0
t152,152,35,12687360,uint8,3,37.708092148405974,124.31493864759886,75.0,14.0,255.0
t153,153,35,12687360,uint8,3,37.88334436793785,125.1251442380448,76.0,14.0,255.0
t154,154,35,12687360,uint8,3,38.01092835704197,125.86374470338983,76.0,13.0,255.0
t155,155,35,12687360,uint8,3,38.16809549031477,126.69786779913237,77.0,14.0,255.0
t156,156,35,12687360,uint8,3,38.27470679479419,127.0448942884887,77.0,11.0,255.0
t157,157,35,12687360,uint8,3,38.15780272649314,126.33555838251614,77.0,14.0,255.0
t158,158,35,12687360,uint8,3,38.30122105780872,127.31951091480025,77.0,12.0,255.0
t159,159,35,12687360,uint8,3,38.40274052285109,127.75454231613196,78.0,14.0,255.0
t160,160,35,12687360,uint8,3,38.32177064416869,127.14997840370258,77.0,13.0,255.0
t161,161,35,12687360,uint8,3,38.654908034453186,128.99751721398306,78.0,14.0,255.0
t162,162,35,12687360,uint8,3,38.67692301629338,128.92858640410614,79.0,14.0,255.0
t163,163,35,12687360,uint8,3,38.740395637863195,129.18280241121872,79.0,13.0,255.0
t164,164,35,12687360,uint8,3,38.72591334997982,128.8592607130246,79.0,13.0,255.0
t165,165,35,12687360,uint8,3,38.94285446302462,129.86540541137006,79.0,14.0,255.0
t166,166,35,12687360,uint8,3,39.27112606562752,131.29151297038942,81.0,13.0,255.0
t167,167,35,12687360,uint8,3,39.29301478006457,131.2275516734766,81.0,14.0,255.0
t168,168,35,12687360,uint8,3,39.421239722054075,131.81312739608555,81.0,14.0,255.0
t169,169,35,12687360,uint8,3,39.51780780241122,132.09995617685632,82.0,15.0,255.0
t170,170,35,12687360,uint8,3,39.52793504716505,132.02025401659606,82.0,14.0,255.0
t171,171,35,12687360,uint8,3,39.792514912479824,133.29451517100483,83.0,14.0,255.0
t172,172,35,12687360,uint8,3,39.90202280064568,133.86760917952986,84.0,15.0,255.0
t173,173,35,12687360,uint8,3,40.03128909402744,134.26037331643462,84.0,12.0,255.0
t174,174,35,12687360,uint8,3,40.20407050797014,135.076575426251,85.0,14.0,255.0
t175,175,35,12687360,uint8,3,40.312356392504036,135.63311437525223,86.0,15.0,255.0
t176,176,35,12687360,uint8,3,40.59706542574657,137.2003947235674,87.0,14.0,255.0
t177,177,35,12687360,uint8,3,40.79578604217111,138.220384697841,88.0,14.0,255.0
t178,178,35,12687360,uint8,3,40.97342756885593,139.11272479065778,88.0,14.0,255.0
t179,179,35,12687360,uint8,3,41.05438688584544,139.48798725660816,89.0,14.0,255.0
t180,180,35,12687360,uint8,3,41.25676563130549,140.508598321479,90.0,13.0,255.0
t181,181,35,12687360,uint8,3,41.15986099551049,139.92918306093623,89.0,13.0,255.0
t182,182,35,12687360,uint8,3,41.21516816737288,139.95151631229822,90.0,14.0,255.0
t183,183,35,12687360,uint8,3,41.29968740541768,140.62402974298828,90.0,12.0,255.0
t184,184,35,12687360,uint8,3,41.38226297669492,140.86033579877926,90.0,14.0,255.0
t185,185,35,12687360,uint8,3,41.53348371922922,141.38905020429783,91.0,14.0,255.0
t186,186,35,12687360,uint8,3,41.79331066510291,142.97808212267958,92.0,13.0,255.0
t187,187,35,12687360,uint8,3,41.626916710805084,142.19723646211662,91.0,12.0,255.0
t188,188,35,12687360,uint8,3,41.91909963932607,143.5930579726594,93.0,14.0,255.0
t189,189,35,12687360,uint8,3,41.989285871922924,144.1717394320016,93.0,13.0,255.0
t190,190,35,12687360,uint8,3,42.14754070192696,145.0582177852603,94.0,14.0,255.0
t191,191,35,12687360,uint8,3,42.22135999924334,145.48949111556698,94.0,13.0,255.0
t192,192,35,12687360,uint8,3,42.529283318200164,147.2143085716808,95.0,13.0,255.0
t193,193,35,12687360,uint8,3,42.535602205659806,146.94067717791566,95.0,14.0,255.0
t194,194,35,12687360,uint8,3,42.3288827620561,146.28806780922113,94.0,13.0,255.0
t195,195,35,12687360,uint8,3,30.793097066686844,81.4350416477502,51.0,15.0,255.0
t196,196,35,12687360,uint8,3,30.808320564719534,81.54009660008072,51.0,13.0,255.0
t197,197,35,12687360,uint8,3,30.757530171761502,81.23235330281477,51.0,14.0,255.0
t198,198,35,12687360,uint8,3,30.881837040960452,81.97305980125101,51.0,14.0,255.0
t199,199,35,12687360,uint8,3,30.955173495510493,82.43424400348063,52.0,13.0,255.0
t200,200,35,12687360,uint8,3,30.962366166010895,82.47685964613599,52.0,14.0,255.0
t201,201,35,12687360,uint8,3,31.053161256557708,83.00602016495158,52.0,12.0,255.0
t202,202,35,12687360,uint8,3,31.09916546862389,83.28568197008677,52.0,15.0,255.0
t203,203,35,12687360,uint8,3,31.156046963276836,83.68527889174737,53.0,14.0,255.0
t204,204,35,12687360,uint8,3,31.227958850383374,84.08684470212873,53.0,13.0,255.0
t205,205,35,12687360,uint8,3,31.2539423489205,84.28413318452381,53.0,11.0,255.0
t206,206,35,12687360,uint8,3,31.142431680034303,83.65354888645076,52.0,12.0,255.0
t207,207,35,12687360,uint8,3,31.232506683817594,84.10021076094633,53.0,16.0,255.0
t208,208,35,12687360,uint8,3,31.267020562197338,84.25330407586763,53.0,14.0,255.0
t209,209,35,12687360,uint8,3,31.325930374798226,84.65278434599476,53.0,14.0,254.0
t210,210,35,12687360,uint8,3,31.298987496216707,84.4703082437954,53.0,12.0,255.0
t211,211,35,12687360,uint8,3,31.32727218270783,84.58389846272195,53.0,13.0,255.0
t212,212,35,12687360,uint8,3,31.36956135870662,84.88055040607344,53.0,13.0,255.0
t213,213,35,12687360,uint8,3,31.51546216076473,85.7617124445117,54.0,13.0,255.0
t214,214,35,12687360,uint8,3,31.47537296963277,85.51143421484059,54.0,14.0,252.0
t215,215,35,12687360,uint8,3,31.339487016999595,84.79806516091607,53.0,13.0,255.0
t216,216,35,12687360,uint8,3,31.5612007541364,85.9995862023305,54.0,15.0,255.0
t217,217,35,12687360,uint8,3,31.532810923627927,85.83323165733455,54.0,14.0,255.0
t218,218,35,12687360,uint8,3,31.45268172417272,85.38561923047821,54.0,13.0,254.0
t219,219,35,12687360,uint8,3,31.580519351543582,85.98557540733455,54.0,14.0,255.0
t220,220,35,12687360,uint8,3,31.668062071226796,86.6721871216707,55.0,14.0,255.0
t221,221,35,12687360,uint8,3,31.633644982092413,86.37894960023205,54.0,13.0,255.0
t222,222,35,12687360,uint8,3,31.653574738952784,86.5741635769774,55.0,15.0,255.0
t223,223,35,12687360,uint8,3,31.687615548073044,86.6979915443402,55.0,14.0,255.0
t224,224,35,12687360,uint8,3,31.68793034957627,86.73741818628935,55.0,14.0,255.0
t225,225,35,12687360,uint8,3,31.87733224248386,87.76390438988095,56.0,15.0,255.0
t226,226,35,12687360,uint8,3,31.808100503177965,87.50603198774213,55.0,14.0,255.0
t227,227,35,12687360,uint8,3,31.88315536092615,87.9220554946025,55.0,15.0,255.0
t228,228,35,12687360,uint8,3,31.962306736783695,88.37132232395076,56.0,15.0,255.0
t229,229,35,12687360,uint8,3,31.9148798489205,88.05497124697337,56.0,13.0,255.0
t230,230,35,12687360,uint8,3,31.89141980679984,88.00831063357546,55.0,13.0,255.0
t231,231,35,12687360,uint8,3,32.128031521135995,89.40752764956618,56.0,14.0,255.0
t232,232,35,12687360,uint8,3,31.983597848567392,88.50357363549233,56.0,13.0,255.0
t233,233,35,12687360,uint8,3,32.047732073496775,88.90778853914448,56.0,14.0,255.0
t234,234,35,12687360,uint8,3,32.11219702128733,89.28775726392251,56.0,14.0,255.0
t235,235,35,12687360,uint8,3,32.19813688584544,89.9461298489205,57.0,14.0,255.0
t236,236,35,12687360,uint8,3,32.190428584039545,89.72279181799838,57.0,13.0,255.0
t237,237,35,12687360,uint8,3,32.2574559246368,90.23902056850282,57.0,13.0,255.0
t238,238,35,12687360,uint8,3,32.32634149263519,90.65745040733455,57.0,14.0,255.0
t239,239,35,12687360,uint8,3,32.34887226341808,90.805324354318,57.0,14.0,255.0
t240,240,35,12687360,uint8,3,32.44041944108152,91.30816418860977,58.0,12.0,255.0
t241,241,35,12687360,uint8,3,32.44329553193099,91.42942266949153,58.0,14.0,255.0
t242,242,35,12687360,uint8,3,32.426896690879744,91.18580461183414,58.0,14.0,255.0
t243,243,35,12687360,uint8,3,32.49460849223164,91.54412344254439,58.0,12.0,255.0
t244,244,35,12687360,uint8,3,32.5291695041364,91.82602054328088,58.0,12.0,255.0
t245,245,35,12687360,uint8,3,32.555046597558515,91.92882601266142,58.0,14.0,255.0
t246,246,35,12687360,uint8,3,32.54872755246166,91.99375520202784,58.0,14.0,255.0
t247,247,35,12687360,uint8,3,32.524591561995564,91.91020827027845,58.0,13.0,255.0
t248,248,35,12687360,uint8,3,32.64604046862389,92.72633865516545,58.0,15.0,255.0
t249,249,35,12687360,uint8,3,32.64621749520783,92.66486250882768,58.0,14.0,255.0
